google,numoc,tri,all,Linear SVM,Score,0.47619047619
my,justc,uni,all,Naive Bayes,Score,0.15873015873
google,numoc,bi,all,AdaBoost,Score,0.47619047619
google,numoc,bi,all,RBF SVM,Recall,0.47619047619
my,justc,tri,all,Neural Net,Score,0.269841269841
google,justc,uni,all,RBF SVM,Score,0.484126984127
google,numoc,tri,all,Dummy,Recall,0.47619047619
my,numoc,uni,all,Linear SVM,Score,0.412698412698
google,justc,tri,all,Decision Tree,Score,0.47619047619
my,numoc,bi,all,Linear SVM,Recall,0.031746031746
google,numoc,tri,all,Decision Tree,Fscore,0.307219662058
my,numoc,bi,all,Dummy,Precision,0.00100781053162
my,justc,bi,all,Logistic Regression,Precision,0.0728143109095
my,numoc,uni,all,Random Forest,Recall,0.396825396825
google,numoc,bi,all,Decision Tree,Fscore,0.307219662058
my,numoc,uni,all,Dummy,Fscore,0.0019536019536
my,justc,tri,all,Linear SVM,Score,0.031746031746
google,numoc,tri,all,Logistic Regression,Score,0.47619047619
my,numoc,bi,all,RBF SVM,Precision,0.00100781053162
my,justc,tri,all,Neural Net,Fscore,0.114682539683
google,numoc,bi,all,Nearest Neighbors,Recall,0.47619047619
my,numoc,bi,all,Dummy,Recall,0.031746031746
my,numoc,bi,all,RBF SVM,Recall,0.031746031746
my,justc,tri,all,AdaBoost,Fscore,0.114682539683
google,numoc,uni,all,Dummy,Recall,0.47619047619
google,numoc,uni,all,Decision Tree,Fscore,0.212362565199
google,numoc,bi,all,Linear SVM,Recall,0.47619047619
google,numoc,uni,all,Random Forest,Fscore,0.301622110833
my,justc,uni,all,Neural Net,Score,0.333333333333
google,justc,tri,all,Random Forest,Precision,0.226757369615
my,numoc,tri,all,Dummy,Fscore,0.0019536019536
google,justc,tri,all,Linear SVM,Precision,0.226757369615
google,justc,bi,all,Dummy,Precision,0.226757369615
my,numoc,tri,all,Dummy,Precision,0.00100781053162
google,numoc,tri,all,AdaBoost,Fscore,0.307219662058
my,numoc,uni,all,Nearest Neighbors,Fscore,0.328325504376
my,justc,uni,all,Logistic Regression,Recall,0.34126984127
google,numoc,tri,all,RBF SVM,Precision,0.226757369615
my,justc,uni,all,Logistic Regression,Precision,0.359096048814
google,numoc,tri,all,Decision Tree,Precision,0.226757369615
google,numoc,bi,all,AdaBoost,Recall,0.47619047619
google,numoc,bi,all,Naive Bayes,Score,0.00793650793651
my,numoc,bi,all,AdaBoost,Fscore,0.114682539683
my,justc,uni,all,Naive Bayes,Fscore,0.0447127207691
my,justc,tri,all,AdaBoost,Score,0.269841269841
google,justc,tri,all,Linear SVM,Fscore,0.307219662058
google,justc,uni,all,Naive Bayes,Precision,0.226757369615
my,numoc,uni,all,Naive Bayes,Score,0.0873015873016
google,justc,bi,all,Logistic Regression,Fscore,0.307219662058
my,numoc,tri,all,Logistic Regression,Fscore,0.114682539683
google,numoc,tri,all,AdaBoost,Precision,0.226757369615
google,justc,tri,all,Dummy,Recall,0.47619047619
google,numoc,uni,all,RBF SVM,Score,0.47619047619
google,numoc,uni,all,Random Forest,Score,0.412698412698
my,numoc,uni,all,RBF SVM,Score,0.269841269841
google,justc,bi,all,Neural Net,Score,0.47619047619
my,numoc,uni,all,AdaBoost,Score,0.404761904762
google,numoc,uni,all,Nearest Neighbors,Fscore,0.285145888594
my,numoc,tri,all,Logistic Regression,Recall,0.269841269841
google,justc,uni,all,RBF SVM,Fscore,0.339684385919
my,justc,uni,all,Random Forest,Recall,0.285714285714
my,numoc,uni,all,Decision Tree,Score,0.31746031746
my,justc,tri,all,Linear SVM,Fscore,0.0019536019536
google,numoc,bi,all,AdaBoost,Precision,0.226757369615
google,justc,uni,all,Random Forest,Precision,0.506349206349
my,justc,uni,all,Linear SVM,Fscore,0.339498456904
my,justc,bi,all,Dummy,Precision,0.00100781053162
my,justc,bi,all,Dummy,Score,0.031746031746
my,justc,uni,all,Nearest Neighbors,Score,0.277777777778
google,justc,tri,all,Nearest Neighbors,Fscore,0.307219662058
google,numoc,uni,all,Decision Tree,Recall,0.174603174603
my,numoc,uni,all,RBF SVM,Fscore,0.114682539683
my,numoc,uni,all,Random Forest,Fscore,0.382358513893
my,justc,uni,all,Neural Net,Recall,0.333333333333
my,numoc,tri,all,Linear SVM,Precision,0.00100781053162
my,numoc,uni,all,Random Forest,Score,0.396825396825
google,justc,bi,all,Linear SVM,Precision,0.226757369615
google,numoc,tri,all,Random Forest,Fscore,0.307219662058
my,justc,uni,all,RBF SVM,Recall,0.31746031746
my,justc,tri,all,Dummy,Precision,0.00100781053162
my,numoc,tri,all,RBF SVM,Fscore,0.0019536019536
google,numoc,bi,all,AdaBoost,Fscore,0.307219662058
my,justc,tri,all,Decision Tree,Score,0.269841269841
google,numoc,tri,all,Neural Net,Precision,0.226757369615
my,numoc,uni,all,Nearest Neighbors,Precision,0.359671050915
google,numoc,uni,all,RBF SVM,Fscore,0.307219662058
my,justc,uni,all,Naive Bayes,Precision,0.0260213374967
google,justc,bi,all,Nearest Neighbors,Recall,0.47619047619
my,numoc,tri,all,Nearest Neighbors,Recall,0.15873015873
my,numoc,tri,all,AdaBoost,Fscore,0.114682539683
google,numoc,uni,all,Logistic Regression,Score,0.428571428571
google,justc,bi,all,RBF SVM,Fscore,0.307219662058
my,justc,uni,all,Decision Tree,Score,0.357142857143
google,numoc,uni,all,Random Forest,Precision,0.257235257235
my,numoc,tri,all,RBF SVM,Precision,0.00100781053162
google,numoc,tri,all,Logistic Regression,Recall,0.47619047619
my,numoc,uni,all,Logistic Regression,Precision,0.368033272411
google,justc,bi,all,AdaBoost,Recall,0.47619047619
my,numoc,tri,all,AdaBoost,Recall,0.269841269841
google,justc,tri,all,Random Forest,Recall,0.47619047619
my,justc,tri,all,Random Forest,Recall,0.269841269841
my,numoc,uni,all,Dummy,Score,0.031746031746
google,numoc,uni,all,AdaBoost,Precision,0.313899063899
my,numoc,uni,all,Dummy,Recall,0.031746031746
google,numoc,uni,all,RBF SVM,Precision,0.226757369615
my,justc,bi,all,Random Forest,Score,0.269841269841
my,numoc,bi,all,Neural Net,Recall,0.269841269841
my,numoc,bi,all,Neural Net,Precision,0.0728143109095
my,justc,bi,all,Random Forest,Precision,0.0728143109095
google,numoc,bi,all,Dummy,Fscore,0.307219662058
google,numoc,uni,all,Dummy,Score,0.47619047619
my,numoc,uni,all,Linear SVM,Fscore,0.411886964319
google,numoc,uni,all,Nearest Neighbors,Recall,0.357142857143
my,justc,bi,all,Neural Net,Fscore,0.114682539683
google,numoc,uni,all,Linear SVM,Score,0.436507936508
my,numoc,uni,all,Random Forest,Precision,0.43329464653
my,justc,uni,all,Logistic Regression,Fscore,0.340313544773
google,numoc,uni,all,AdaBoost,Recall,0.349206349206
google,numoc,bi,all,Logistic Regression,Precision,0.226757369615
google,justc,tri,all,AdaBoost,Recall,0.47619047619
my,numoc,bi,all,Linear SVM,Score,0.031746031746
google,numoc,bi,all,Logistic Regression,Fscore,0.307219662058
my,justc,tri,all,Linear SVM,Precision,0.00100781053162
google,justc,uni,all,Neural Net,Precision,0.353037766831
my,justc,bi,all,Logistic Regression,Score,0.269841269841
