class labels,features,ngrams,num_comp,classifier,measure,value
google,justc,uni,all,RBF SVM,Fscore,0.3396843859
google,justc,uni,all,RBF SVM,Precision,0.4173772356
google,justc,uni,all,RBF SVM,Recall,0.4841269841
google,justc,uni,all,RBF SVM,Score,0.4841269841
google,justc,uni,all,Random Forest,Fscore,0.3203980378
google,justc,uni,all,Random Forest,Precision,0.3654633897
google,justc,uni,all,Random Forest,Recall,0.4761904762
google,justc,uni,all,Random Forest,Score,0.4761904762
google,numoc,bi,all,AdaBoost,Fscore,0.3072196621
google,numoc,bi,all,AdaBoost,Precision,0.2267573696
google,numoc,bi,all,AdaBoost,Recall,0.4761904762
google,numoc,bi,all,AdaBoost,Score,0.4761904762
google,numoc,bi,all,Decision Tree,Fscore,0.3072196621
google,numoc,bi,all,Decision Tree,Precision,0.2267573696
google,numoc,bi,all,Decision Tree,Recall,0.4761904762
google,numoc,bi,all,Decision Tree,Score,0.4761904762
google,numoc,bi,all,Dummy,Fscore,0.3072196621
google,numoc,bi,all,Dummy,Precision,0.2267573696
google,numoc,bi,all,Dummy,Recall,0.4761904762
google,numoc,bi,all,Dummy,Score,0.4761904762
google,numoc,bi,all,Linear SVM,Fscore,0.3072196621
google,numoc,bi,all,Linear SVM,Precision,0.2267573696
google,numoc,bi,all,Linear SVM,Recall,0.4761904762
google,numoc,bi,all,Linear SVM,Score,0.4761904762
google,numoc,bi,all,Logistic Regression,Fscore,0.3072196621
google,numoc,bi,all,Logistic Regression,Precision,0.2267573696
google,numoc,bi,all,Logistic Regression,Recall,0.4761904762
google,numoc,bi,all,Logistic Regression,Score,0.4761904762
google,numoc,bi,all,Naive Bayes,Fscore,0.0001249844
google,numoc,bi,all,Naive Bayes,Precision,6.29881582262535E-05
google,numoc,bi,all,Naive Bayes,Recall,0.0079365079
google,numoc,bi,all,Naive Bayes,Score,0.0079365079
google,numoc,bi,all,Nearest Neighbors,Fscore,0.3072196621
google,numoc,bi,all,Nearest Neighbors,Precision,0.2267573696
google,numoc,bi,all,Nearest Neighbors,Recall,0.4761904762
google,numoc,bi,all,Nearest Neighbors,Score,0.4761904762
google,numoc,bi,all,Neural Net,Fscore,0.3072196621
google,numoc,bi,all,Neural Net,Precision,0.2267573696
google,numoc,bi,all,Neural Net,Recall,0.4761904762
google,numoc,bi,all,Neural Net,Score,0.4761904762
google,numoc,bi,all,RBF SVM,Fscore,0.3072196621
google,numoc,bi,all,RBF SVM,Precision,0.2267573696
google,numoc,bi,all,RBF SVM,Recall,0.4761904762
google,numoc,bi,all,RBF SVM,Score,0.4761904762
google,numoc,bi,all,Random Forest,Fscore,0.3072196621
google,numoc,bi,all,Random Forest,Precision,0.2267573696
