class labels,features,ngrams,num_comp,classifier,measure,value
my,tfidf,bi,300,Decision Tree,Fscore,0.3780361719
google,tfidf,tri,200,Neural Net,Score,0.4285714286
google,tfidf,bi,400,Naive Bayes,Precision,0.2661249685
my,tfidf,all,10,Neural Net,Recall,0.3888888889
google,tfidf,all,200,RBF SVM,Score,0.5158730159
google,tfidf,bi,400,Naive Bayes,Score,0.5158730159
google,tfidf,all,100,Neural Net,Precision,0.3581208973
google,tfidf,uni,400,Logistic Regression,Fscore,0.3873174469
google,numoc,tri,all,RBF SVM,Recall,0.4761904762
google,tfidf,uni,100,Random Forest,Recall,0.5238095238
google,tfidf,uni,200,Nearest Neighbors,Recall,0.4682539683
google,tfidf,quad,200,Nearest Neighbors,Precision,0.3466810967
google,tfidf,bi,400,Logistic Regression,Score,0.4603174603
google,numoc,tri,all,Dummy,Fscore,0.3072196621
google,tfidf,uni,400,Random Forest,Precision,0.5698412698
my,tfidf,tri,400,Nearest Neighbors,Fscore,0.4483389505
my,tfidf,quad,300,Decision Tree,Fscore,0.3258659391
my,tfidf,quad,10,AdaBoost,Fscore,0.3192500335
google,tfidf,all,300,Logistic Regression,Fscore,0.4180183382
my,tfidf,uni,300,Linear SVM,Fscore,0.452683636
my,tfidf,all,200,AdaBoost,Recall,0.4761904762
my,justc,uni,all,Naive Bayes,Score,0.1587301587
my,tfidf,all,400,AdaBoost,Precision,0.4356934424
google,numoc,bi,all,RBF SVM,Recall,0.4761904762
my,tfidf,tri,200,Logistic Regression,Score,0.4047619048
google,tfidf,quad,200,Naive Bayes,Fscore,0.204021164
google,justc,uni,all,RBF SVM,Score,0.4841269841
google,tfidf,all,100,Dummy,Score,0.5158730159
my,tfidf,quad,10,Dummy,Precision,0.0022675737
google,tfidf,quad,300,Dummy,Fscore,0.3511177595
google,justc,tri,all,Decision Tree,Score,0.4761904762
my,tfidf,quad,300,AdaBoost,Precision,0.4184368371
my,tfidf,all,300,Linear SVM,Recall,0.4603174603
my,tfidf,bi,10,Decision Tree,Score,0.3095238095
my,tfidf,all,10,Decision Tree,Precision,0.2920231971
google,tfidf,quad,400,AdaBoost,Fscore,0.4107621084
my,tfidf,quad,400,Nearest Neighbors,Score,0.4285714286
google,tfidf,quad,10,Logistic Regression,Score,0.4920634921
my,tfidf,all,10,Nearest Neighbors,Precision,0.4566137566
my,tfidf,bi,10,Naive Bayes,Recall,0.3174603175
my,tfidf,bi,100,Dummy,Precision,0.0022675737
my,tfidf,bi,300,Decision Tree,Recall,0.380952381
google,tfidf,all,200,Nearest Neighbors,Fscore,0.382532124
my,numoc,uni,all,Random Forest,Recall,0.3888888889
my,tfidf,uni,300,Random Forest,Score,0.3253968254
my,tfidf,uni,10,AdaBoost,Fscore,0.3407264534
my,tfidf,tri,300,Neural Net,Score,0.4126984127
google,tfidf,quad,200,Dummy,Recall,0.5158730159
google,tfidf,tri,10,Nearest Neighbors,Recall,0.4920634921
my,tfidf,uni,100,Linear SVM,Score,0.4920634921
google,tfidf,bi,10,Neural Net,Precision,0.4055933485
google,tfidf,tri,200,Neural Net,Fscore,0.405948936
