% 1. Title: App Behavioral Category Classification
% 
% 2. Sources:
%      (a) Creator: P. K. Das
%      (b) Source: Google Play Store dataset
%      (c) Date: January 7, 2017
% 
@RELATION playstore

@ATTRIBUTE _exit NUMERIC
@ATTRIBUTE _llseek NUMERIC
@ATTRIBUTE accept NUMERIC
@ATTRIBUTE arch_prctl NUMERIC
@ATTRIBUTE bind NUMERIC
@ATTRIBUTE brk NUMERIC
@ATTRIBUTE chdir NUMERIC
@ATTRIBUTE clock_gettime NUMERIC
@ATTRIBUTE clone NUMERIC
@ATTRIBUTE close NUMERIC
@ATTRIBUTE connect NUMERIC
@ATTRIBUTE dup NUMERIC
@ATTRIBUTE epoll_create NUMERIC
@ATTRIBUTE epoll_ctl NUMERIC
@ATTRIBUTE epoll_pwait NUMERIC
@ATTRIBUTE eventfd NUMERIC
@ATTRIBUTE execve NUMERIC
@ATTRIBUTE exit_group NUMERIC
@ATTRIBUTE faccessat NUMERIC
@ATTRIBUTE fchmod NUMERIC
@ATTRIBUTE fchmodat NUMERIC
@ATTRIBUTE fcntl NUMERIC
@ATTRIBUTE fdatasync NUMERIC
@ATTRIBUTE flock NUMERIC
@ATTRIBUTE fstat NUMERIC
@ATTRIBUTE fstatat NUMERIC
@ATTRIBUTE fsync NUMERIC
@ATTRIBUTE ftruncate NUMERIC
@ATTRIBUTE futex NUMERIC
@ATTRIBUTE getcwd NUMERIC
@ATTRIBUTE getdents NUMERIC
@ATTRIBUTE getegid NUMERIC
@ATTRIBUTE geteuid NUMERIC
@ATTRIBUTE getgid NUMERIC
@ATTRIBUTE getpgid NUMERIC
@ATTRIBUTE getppid NUMERIC
@ATTRIBUTE getpriority NUMERIC
@ATTRIBUTE getrlimit NUMERIC
@ATTRIBUTE getsockname NUMERIC
@ATTRIBUTE getsockopt NUMERIC
@ATTRIBUTE gettid NUMERIC
@ATTRIBUTE gettimeofday NUMERIC
@ATTRIBUTE getuid NUMERIC
@ATTRIBUTE inotify_add_watch NUMERIC
@ATTRIBUTE inotify_init NUMERIC
@ATTRIBUTE inotify_rm_watch NUMERIC
@ATTRIBUTE ioctl NUMERIC
@ATTRIBUTE kill NUMERIC
@ATTRIBUTE listen NUMERIC
@ATTRIBUTE lseek NUMERIC
@ATTRIBUTE madvise NUMERIC
@ATTRIBUTE mincore NUMERIC
@ATTRIBUTE mkdirat NUMERIC
@ATTRIBUTE mmap NUMERIC
@ATTRIBUTE modify_ldt NUMERIC
@ATTRIBUTE mprotect NUMERIC
@ATTRIBUTE msync NUMERIC
@ATTRIBUTE munmap NUMERIC
@ATTRIBUTE nanosleep NUMERIC
@ATTRIBUTE newfstatat NUMERIC
@ATTRIBUTE openat NUMERIC
@ATTRIBUTE personality NUMERIC
@ATTRIBUTE pipe NUMERIC
@ATTRIBUTE ppoll NUMERIC
@ATTRIBUTE prctl NUMERIC
@ATTRIBUTE pread NUMERIC
@ATTRIBUTE pselect NUMERIC
@ATTRIBUTE pwrite NUMERIC
@ATTRIBUTE read NUMERIC
@ATTRIBUTE readlinkat NUMERIC
@ATTRIBUTE recvfrom NUMERIC
@ATTRIBUTE recvmsg NUMERIC
@ATTRIBUTE renameat NUMERIC
@ATTRIBUTE restart_syscall NUMERIC
@ATTRIBUTE rt_sigaction NUMERIC
@ATTRIBUTE rt_sigprocmask NUMERIC
@ATTRIBUTE rt_sigreturn NUMERIC
@ATTRIBUTE rt_sigtimedwait NUMERIC
@ATTRIBUTE sched_getparam NUMERIC
@ATTRIBUTE sched_getscheduler NUMERIC
@ATTRIBUTE sched_yield NUMERIC
@ATTRIBUTE sendmsg NUMERIC
@ATTRIBUTE sendto NUMERIC
@ATTRIBUTE set_thread_area NUMERIC
@ATTRIBUTE set_tid_address NUMERIC
@ATTRIBUTE setitimer NUMERIC
@ATTRIBUTE setpgid NUMERIC
@ATTRIBUTE setpriority NUMERIC
@ATTRIBUTE setresuid NUMERIC
@ATTRIBUTE setrlimit NUMERIC
@ATTRIBUTE setsockopt NUMERIC
@ATTRIBUTE shutdown NUMERIC
@ATTRIBUTE sigaction NUMERIC
@ATTRIBUTE sigaltstack NUMERIC
@ATTRIBUTE sigreturn NUMERIC
@ATTRIBUTE socket NUMERIC
@ATTRIBUTE socketpair NUMERIC
@ATTRIBUTE statfs NUMERIC
@ATTRIBUTE tgkill NUMERIC
@ATTRIBUTE ugetrlimit NUMERIC
@ATTRIBUTE umask NUMERIC
@ATTRIBUTE uname NUMERIC
@ATTRIBUTE unlinkat NUMERIC
@ATTRIBUTE utimensat NUMERIC
@ATTRIBUTE wait NUMERIC
@ATTRIBUTE write NUMERIC
@ATTRIBUTE writev NUMERIC
@ATTRIBUTE class {alarm_clock,file_explorer,to_do_list,drink_recipes,battery_saver,pdf_reader,video_playback,lunar_calendar,scientific_calculator,wifi_analyzer}

@DATA
0,0,0,10,0,0,0,0,14,268,1,75,0,105,3342,0,0,0,0,0,0,204,0,0,36,0,0,0,14026,0,6,0,0,0,0,0,699,0,0,0,0,0,1131,0,0,0,5331,0,0,130,758,0,0,553,0,148,0,462,3,100,171,0,0,0,1523,655,0,0,2827,3,4029,1,0,0,0,118,5,1,0,0,3,0,1958,0,0,0,0,17,0,0,1,0,0,14,0,1,2,0,0,0,0,0,0,0,0,5166,1366,to_do_list
18,3,1,57,4,1,0,337,79,866,18,130,8,222,21962,2,1,1,176,1,30,621,63,2,514,44,24,166,39982,0,14,12,43,12,0,0,639,5,7,62,0,2,5213,4,1,0,6622,0,1,386,2111,0,11,1369,11,1387,0,876,0,745,950,2,8,3,1840,406,5,278,19755,46,9882,3007,24,3,2,557,50,1,0,0,494,42,8894,1,14,0,1,107,0,1,16,0,10,97,0,26,10,3,0,1,0,0,45,0,1,19260,2024,alarm_clock
11,0,1,43,29,0,0,751,65,2990,88,740,8,405,50904,3,0,0,256,0,38,1547,60,0,652,0,36,232,109346,0,10,10,35,10,0,1,1660,5,59,160,0,0,11457,0,0,0,21469,0,1,1073,9633,0,7,3597,0,556,0,2701,10,883,3499,0,6,1,4769,1261,4,447,109735,5,15482,7298,36,11,0,2521,50,1,0,0,1723,258,16106,0,10,0,0,297,0,1,109,0,0,76,0,90,11,2,0,0,0,0,49,0,0,65116,4229,scientific_calculator
23,0,1,56,2,0,0,571,79,1966,13,578,9,507,42620,4,0,0,160,0,12,852,56,1,493,0,10,251,112865,0,8,10,33,10,0,1,1421,5,5,68,0,0,9982,0,0,0,18114,0,1,307,8321,0,7,2451,0,534,0,1943,3,504,1964,0,6,1,3619,1796,4,449,80927,6,11596,6053,9,3,0,1213,50,1,0,0,1180,152,14305,0,22,0,0,182,0,1,9,0,0,102,0,15,9,2,0,0,0,0,23,0,1,64624,4315,alarm_clock
0,0,1,19,1,0,0,6,21,124,0,14,6,18,262,2,0,0,66,0,7,213,34,0,202,0,1,0,946,0,4,8,39,8,0,1,79,1,0,3,0,0,170,0,0,0,935,0,1,119,117,0,0,191,0,132,0,107,0,96,150,0,4,0,246,117,1,17,1570,1,333,1,0,12,0,108,50,1,0,0,0,0,162,0,0,0,0,33,0,0,0,0,0,21,0,1,4,0,0,0,0,0,4,0,0,683,110,alarm_clock
0,0,0,14,0,0,0,0,14,765,0,235,1,388,5024,1,0,0,408,0,32,1254,9,0,1268,0,0,0,12501,0,4,0,204,0,0,1,1320,0,0,1,0,0,2664,0,0,0,8547,0,0,0,657,0,0,428,0,204,0,320,1,633,382,0,0,0,2904,925,0,21,4339,1,10627,1,0,0,0,184,0,1,0,0,282,0,5909,0,0,0,0,16,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,8278,2549,to_do_list
6,0,1,38,1,0,0,180,51,1065,21,270,9,301,20201,4,0,0,98,0,4,577,51,1,397,0,1,163,45415,0,8,10,31,10,0,1,781,5,8,33,0,0,7632,0,0,0,8848,0,1,281,5107,0,7,1247,0,403,0,954,0,318,964,0,5,0,2124,708,1,276,39862,6,8156,2350,3,4,0,541,50,1,0,0,1117,91,4930,0,5,0,0,105,0,1,11,0,0,57,0,22,9,2,0,0,0,0,16,0,1,33491,1653,wifi_analyzer
27,0,1,96,39,5,0,384,111,4097,116,228,18,411,13000,12,20,5,566,0,65,1548,349,0,1459,0,64,16,74573,0,93,12,196,12,0,1,2620,4,80,345,0,0,7862,4,1,0,21461,0,1,3241,4911,0,41,2627,0,1305,0,1980,5,1605,3476,0,30,37,6297,1877,18,1013,28527,50,15775,187,58,4,48,1615,2,5,0,0,484,60,7446,0,31,0,0,132,0,0,147,0,0,138,0,126,12,8,0,0,0,0,67,0,10,18511,3677,battery_saver
8,0,1,38,3,0,0,45,48,696,23,106,7,195,4836,2,0,0,137,0,10,565,61,1,499,0,7,126,16698,0,46,10,53,10,0,0,283,3,10,49,0,0,1438,0,0,0,3335,0,1,420,1455,0,8,884,0,393,0,676,0,334,666,0,7,2,796,510,7,212,5797,6,2428,722,13,6,0,840,50,1,0,0,212,35,2239,0,8,0,0,65,0,0,17,0,0,56,0,26,9,5,0,0,0,0,30,0,1,3679,762,alarm_clock
300,3,1,258,8,1,0,516,363,2923,38,972,7,509,71125,2,1,1,432,1,6,900,38,2,618,44,3,402,116318,0,6,10,44,10,0,1,1458,4,19,120,0,2,15728,0,0,0,19963,0,1,211,11429,0,4,3575,11,1926,0,2921,0,803,2443,2,5,0,3712,1058,1,346,46640,27,10095,11971,1,4,0,1066,1,1,0,0,280,637,21489,1,244,0,1,365,0,0,56,0,10,663,0,39,9,0,0,1,0,0,53,0,1,46272,5485,video_playback
31,0,1,60,16,0,0,59,78,1889,138,434,16,1046,23819,9,0,0,235,0,61,1233,30,0,456,0,60,532,65956,0,8,14,28,14,0,0,3724,4,51,2852,0,0,6585,4,1,0,18254,0,1,206,2634,0,7,1826,0,654,0,1565,4,494,1396,0,22,11,8433,649,242,732,34489,4,10240,2694,61,5,0,1737,2,1,0,0,454,144,10021,0,30,0,0,217,0,1,475,0,0,109,0,159,17,0,0,0,0,0,70,0,0,42521,2877,wifi_analyzer
