% 1. Title: Playstore Data Category Classification
% 
% 2. Sources:
%      (a) Creator: P. K. Das
%      (b) Source: Google Play Store dataset
%      (c) Date: June, 2016
% 
@RELATION playstore

@ATTRIBUTE _llseek NUMERIC
@ATTRIBUTE arch_prctl NUMERIC
@ATTRIBUTE bind NUMERIC
@ATTRIBUTE clock_gettime NUMERIC
@ATTRIBUTE clone NUMERIC
@ATTRIBUTE close NUMERIC
@ATTRIBUTE connect NUMERIC
@ATTRIBUTE dup NUMERIC
@ATTRIBUTE epoll_ctl NUMERIC
@ATTRIBUTE epoll_pwait NUMERIC
@ATTRIBUTE exit_group NUMERIC
@ATTRIBUTE faccessat NUMERIC
@ATTRIBUTE fchmod NUMERIC
@ATTRIBUTE fchmodat NUMERIC
@ATTRIBUTE fcntl NUMERIC
@ATTRIBUTE fdatasync NUMERIC
@ATTRIBUTE flock NUMERIC
@ATTRIBUTE fstat NUMERIC
@ATTRIBUTE fsync NUMERIC
@ATTRIBUTE ftruncate NUMERIC
@ATTRIBUTE futex NUMERIC
@ATTRIBUTE geteuid NUMERIC
@ATTRIBUTE getppid NUMERIC
@ATTRIBUTE getpriority NUMERIC
@ATTRIBUTE getrlimit NUMERIC
@ATTRIBUTE getsockname NUMERIC
@ATTRIBUTE getsockopt NUMERIC
@ATTRIBUTE gettimeofday NUMERIC
@ATTRIBUTE getuid NUMERIC
@ATTRIBUTE inotify_add_watch NUMERIC
@ATTRIBUTE inotify_rm_watch NUMERIC
@ATTRIBUTE ioctl NUMERIC
@ATTRIBUTE kill NUMERIC
@ATTRIBUTE lseek NUMERIC
@ATTRIBUTE madvise NUMERIC
@ATTRIBUTE mkdirat NUMERIC
@ATTRIBUTE mmap NUMERIC
@ATTRIBUTE mprotect NUMERIC
@ATTRIBUTE munmap NUMERIC
@ATTRIBUTE nanosleep NUMERIC
@ATTRIBUTE newfstatat NUMERIC
@ATTRIBUTE openat NUMERIC
@ATTRIBUTE prctl NUMERIC
@ATTRIBUTE pread NUMERIC
@ATTRIBUTE pwrite NUMERIC
@ATTRIBUTE read NUMERIC
@ATTRIBUTE readlinkat NUMERIC
@ATTRIBUTE recvfrom NUMERIC
@ATTRIBUTE renameat NUMERIC
@ATTRIBUTE restart_syscall NUMERIC
@ATTRIBUTE rt_sigaction NUMERIC
@ATTRIBUTE rt_sigprocmask NUMERIC
@ATTRIBUTE rt_sigreturn NUMERIC
@ATTRIBUTE sched_getparam NUMERIC
@ATTRIBUTE sched_getscheduler NUMERIC
@ATTRIBUTE sched_yield NUMERIC
@ATTRIBUTE sendmsg NUMERIC
@ATTRIBUTE sendto NUMERIC
@ATTRIBUTE setpriority NUMERIC
@ATTRIBUTE setrlimit NUMERIC
@ATTRIBUTE setsockopt NUMERIC
@ATTRIBUTE shutdown NUMERIC
@ATTRIBUTE sigaction NUMERIC
@ATTRIBUTE sigaltstack NUMERIC
@ATTRIBUTE socket NUMERIC
@ATTRIBUTE socketpair NUMERIC
@ATTRIBUTE statfs NUMERIC
@ATTRIBUTE tgkill NUMERIC
@ATTRIBUTE ugetrlimit NUMERIC
@ATTRIBUTE unlinkat NUMERIC
@ATTRIBUTE utimensat NUMERIC
@ATTRIBUTE write NUMERIC
@ATTRIBUTE writev NUMERIC
@ATTRIBUTE class {lunar_calendar,productivity,file_explorer,to_do_list,drink_recipes,battery_saver,pdf_reader,video_playback,alarm_clock,scientific_calculator,wifi_analyzer}

@DATA
0,0,0,0,52,666,0,227,237,5332,0,37,0,0,156,0,0,95,0,0,5791,0,0,0,3,0,64,0,5073,0,0,6214,0,56,209,2,1214,405,899,0,344,440,87,1515,0,5010,4,10976,0,0,2,565,0,0,0,51,20,6409,2,1,0,0,0,0,0,2,0,0,0,1,0,3861,2638,file_explorer
0,0,0,0,5,760,0,274,314,2922,0,276,0,27,889,27,0,902,0,0,141,142,0,0,0,0,0,0,2195,0,0,4365,0,0,265,0,292,59,263,0,513,243,14,608,68,1814,1,9442,0,0,0,215,0,0,0,0,0,5563,0,0,0,0,0,0,0,0,0,0,0,0,0,2989,1842,to_do_list
0,0,0,32,82,908,0,262,226,4793,0,160,0,1,623,116,0,570,0,0,2229,98,0,0,2,0,6,0,5351,0,0,8740,0,76,668,2,928,580,645,0,418,511,131,823,255,2283,5,8821,0,0,2,853,0,0,0,0,14,5146,2,0,0,0,0,0,0,2,0,0,0,1,0,4072,3187,alarm_clock
0,0,0,20,32,710,0,237,391,3774,0,23,0,3,412,0,0,61,0,0,3578,0,0,0,2,0,7,0,4034,0,0,4512,0,315,403,2,1260,559,1052,0,586,333,110,1737,0,1952,18,9650,0,0,0,53,50,0,0,1,6,5329,2,0,0,0,0,0,0,2,0,0,0,5,0,2592,2520,scientific_calculator
0,0,0,0,13,490,0,219,245,2244,0,23,0,0,147,0,0,0,0,0,150,0,0,0,0,0,0,0,1933,0,0,3837,0,0,295,0,358,26,274,0,129,90,5,402,0,1504,0,6698,0,0,0,636,0,0,0,1,0,3908,0,0,0,0,0,0,0,0,0,0,0,0,0,2463,1202,alarm_clock
0,0,0,0,0,128,0,56,88,3196,0,0,0,0,56,0,0,0,0,0,1728,0,0,0,0,0,0,0,1656,0,0,7347,0,0,60,0,248,4,185,0,100,39,30,358,0,1231,0,12352,0,0,0,56,0,0,0,0,0,6773,0,0,0,0,0,0,0,0,0,0,0,0,0,2712,910,battery_saver
0,0,0,162,56,744,0,187,242,4886,0,118,0,14,153,0,0,67,10,0,7157,0,0,0,3,0,17,0,5432,0,0,6949,0,84,515,3,1087,588,864,0,578,678,79,1025,0,6133,18,8930,10,0,2,829,50,0,0,0,20,5182,2,1,0,0,0,0,0,2,0,0,0,15,0,3778,3557,battery_saver
0,0,0,374,21,932,0,270,373,7198,0,75,0,2,239,0,0,45,0,0,11549,0,1,0,2,0,1,0,8139,0,0,12857,0,22,155,0,1246,79,667,0,248,942,137,1185,0,26141,2,10516,0,0,0,184,50,0,0,64,70,5882,2,1,0,0,0,0,0,2,0,0,0,0,0,5698,3692,to_do_list
0,0,0,318,47,770,0,286,506,5137,0,20,0,6,303,0,0,50,1,0,6184,0,0,0,2,0,8,0,4583,0,0,4963,0,84,230,4,609,575,358,0,373,600,90,505,0,1594,18,15040,0,0,0,185,50,0,0,53,4,8514,2,1,0,0,0,0,0,2,0,0,0,5,0,3070,1208,scientific_calculator
0,0,0,0,1,88,0,5,4,22,0,23,0,3,55,13,0,68,2,0,47,10,1,0,0,0,3,0,50,0,0,241,0,0,58,0,197,55,92,0,28,92,41,209,29,8,1,19,2,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,33,8,alarm_clock
0,0,0,157,53,742,0,110,105,3123,0,107,0,17,192,15,0,202,10,0,2795,20,0,0,2,0,18,0,3652,0,0,5401,0,102,1323,4,977,719,443,0,637,802,134,534,29,9745,19,4235,10,0,2,6550,50,0,0,4,42,2597,2,0,0,0,0,0,0,2,1,0,0,18,0,2351,1809,alarm_clock
0,0,0,4,36,87,0,8,5,754,0,73,0,8,1,0,0,18,5,0,280,0,0,0,0,0,9,0,1050,0,0,4214,0,0,137,1,117,93,25,0,242,87,8,15049,0,164,1,148,3,0,0,2,0,0,0,370,0,61,0,0,0,0,0,0,0,0,0,0,0,3,0,99,50,to_do_list
0,0,0,93,456,1053,0,154,210,16556,0,87,0,16,136,0,0,78,16,0,14301,0,1,6,3,0,42,0,17098,0,0,8770,0,133,265,4,1473,841,400,0,537,913,134,398,0,1510,3,11521,15,0,0,576,0,0,0,2,136,7129,2,1,0,0,0,0,0,2,0,0,0,12,0,5175,3749,battery_saver
0,0,0,2,77,747,0,124,111,2720,0,410,0,73,888,60,0,1068,43,0,469,164,0,0,0,0,43,0,1754,0,0,4498,0,2,229,5,706,130,371,0,585,526,38,949,129,884,1,8298,40,0,0,1373,0,0,0,132,0,5168,0,0,0,0,0,0,0,0,8,0,0,42,0,1526,1427,battery_saver
0,0,0,0,77,536,0,216,176,2224,0,198,0,28,219,15,0,175,4,0,696,20,0,0,0,0,72,0,1747,0,0,5749,0,0,110,3,461,177,296,0,270,262,18,450,30,881,3,6861,3,0,1,83,0,0,0,1,0,3708,0,0,0,0,0,0,0,0,1,0,0,24,0,1371,1943,alarm_clock
0,0,0,0,1,812,0,129,252,5292,0,211,0,36,619,51,0,622,17,0,2162,98,1,0,0,0,18,0,3071,0,0,5922,0,0,103,1,600,53,203,0,307,721,15,592,112,1328,1,13086,16,0,0,306,0,0,0,0,0,6805,0,0,0,0,0,0,0,0,0,0,0,16,0,3159,1290,to_do_list
0,0,0,32,156,1318,0,175,187,12020,0,480,0,41,1144,15,0,1306,0,0,11417,203,1,0,2,0,26,0,13153,0,0,12552,0,20,794,1,1431,216,777,0,968,913,135,1554,30,1540,2,10891,0,0,0,282,0,0,0,1,302,6752,2,0,0,0,0,0,0,2,1,0,0,2,0,5660,3666,alarm_clock
0,0,0,140,70,876,0,191,278,6776,0,170,0,30,170,0,0,94,25,0,9642,0,1,0,3,0,34,0,6759,0,0,8732,0,82,679,3,1326,647,1067,0,645,768,117,1246,0,7447,19,12951,25,0,2,1033,50,0,0,2,22,6856,2,1,0,0,0,0,0,2,0,0,0,30,0,6103,4247,battery_saver
0,0,0,0,27,521,0,198,313,3284,0,203,0,24,721,15,0,637,1,0,3303,103,0,0,0,0,1,0,2830,0,0,4356,0,0,57,2,464,40,345,0,502,201,43,901,34,663,0,11501,0,0,0,138,0,0,0,1,0,6587,0,0,0,0,0,0,0,0,1,0,0,2,0,2909,3034,to_do_list
0,0,0,184,41,775,0,224,380,4934,0,0,0,0,224,0,0,0,0,0,5321,0,0,0,0,0,0,0,4049,0,0,6501,0,0,327,0,2415,49,2009,0,292,546,17,3994,0,1280,0,13727,0,0,0,1248,0,0,0,2,0,6995,0,0,0,0,0,0,0,0,0,0,0,0,0,3740,2619,to_do_list
57,0,0,33126,41,738,0,195,263,5107,0,160,0,10,0,0,0,0,9,0,10678,0,0,0,0,0,16,33,0,0,0,6089,0,3,392,2,0,264,1007,0,0,573,96,0,0,908,4,10168,9,0,0,918,53,0,0,0,8,5741,2,1,0,0,0,0,0,2,0,0,3,12,0,3072,3178,file_explorer
0,0,0,601,71,1582,0,304,358,11035,0,430,0,30,986,85,0,1047,0,0,16255,152,1,0,3,0,27,0,12886,0,0,13361,0,80,225,3,1413,571,513,0,897,1894,98,1051,188,45036,5,13712,0,0,2,638,54,0,0,122,114,7779,2,1,0,0,0,0,0,2,1,0,0,3,0,8336,3890,battery_saver
